id;nome;criado;data_primeiro_caso;local_primeiro_caso
1;Chair;2021-03-10T06:55:12;2021-03-09;2021-03-09
2;Unbranded Bike;2021-03-09T18:08:23;2021-03-09;2021-03-10
3;payment;2021-03-10T04:26:36;2021-03-09;2021-03-10
4;value-added Regional;2021-03-09T14:40:36;2021-03-09;2021-03-10
5;Nauru Cliffs;2021-03-10T09:59:35;2021-03-10;2021-03-10
6;Research Director;2021-03-10T08:03:59;2021-03-10;2021-03-09
7;Towels;2021-03-09T18:05:20;2021-03-10;2021-03-09
8;Associate Configuration;2021-03-09T14:01:22;2021-03-09;2021-03-10
9;Assurance Borders programming;2021-03-10T08:30:30;2021-03-09;2021-03-09
10;Program Steel Jewelery;2021-03-10T09:21:33;2021-03-10;2021-03-10
